,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
88,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,1.9843442,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9843442
90,SPARC,ENG,Endothelial cell,Endothelial cell,1.9773078,0.0,Ligand,Receptor,SPARC,ENG,1.9773078
91,HLA-B,CANX,Endothelial cell,Acinar cell,1.9764193,0.0,Ligand,Receptor,HLA-B,CANX,1.9764193
93,VIM,CD44,Stellate cell,Fibroblast cell,1.9707843,0.0,Ligand,Receptor,VIM,CD44,1.9707843
95,CALM2,AQP1,Ductal cell type 1,Ductal cell type 1,1.9582705,0.0,Ligand,Receptor,CALM2,AQP1,1.9582705
98,TIMP3,CD44,Fibroblast cell,Fibroblast cell,1.9462337,0.0,Ligand,Receptor,TIMP3,CD44,1.9462337
99,TIMP3,DDR1,Fibroblast cell,Ductal cell type 1,1.9396908,0.0,Ligand,Receptor,TIMP3,DDR1,1.9396908
100,VIM,CD44,Fibroblast cell,Fibroblast cell,1.9359897,0.0,Ligand,Receptor,VIM,CD44,1.9359897
101,TIMP1,CD63,Stellate cell,Fibroblast cell,1.9356872,0.0,Ligand,Receptor,TIMP1,CD63,1.9356872
104,LUM,ITGB1,Fibroblast cell,Ductal cell type 1,1.9305692,0.0,Ligand,Receptor,LUM,ITGB1,1.9305692
105,TIMP3,CD44,Stellate cell,Ductal cell type 1,1.9298882,0.0,Ligand,Receptor,TIMP3,CD44,1.9298882
106,CALM1,SCTR,Endothelial cell,Ductal cell type 1,1.9286138,0.0,Ligand,Receptor,CALM1,SCTR,1.9286138
108,SPARC,ENG,Stellate cell,Endothelial cell,1.9242396,0.0,Ligand,Receptor,SPARC,ENG,1.9242396
111,VIM,CD44,Stellate cell,Acinar cell,1.9125651,0.0,Ligand,Receptor,VIM,CD44,1.9125651
112,HLA-A,ERBB2,Endothelial cell,Ductal cell type 1,1.9091697,0.0,Ligand,Receptor,HLA-A,ERBB2,1.9091697
115,VIM,CD44,Stellate cell,Stellate cell,1.9029258,0.0,Ligand,Receptor,VIM,CD44,1.9029258
116,CXCL12,SDC4,Fibroblast cell,Ductal cell type 1,1.9009184,0.0,Ligand,Receptor,CXCL12,SDC4,1.9009184
117,LUM,ITGB1,Fibroblast cell,Acinar cell,1.8949441,0.0,Ligand,Receptor,LUM,ITGB1,1.8949441
119,A2M,LRP1,Fibroblast cell,Fibroblast cell,1.8928534,0.0,Ligand,Receptor,A2M,LRP1,1.8928534
121,HLA-C,NOTCH4,Endothelial cell,Endothelial cell,1.8883744,0.0,Ligand,Receptor,HLA-C,NOTCH4,1.8883744
122,TIMP3,CD44,Fibroblast cell,Acinar cell,1.8880146,0.003,Ligand,Receptor,TIMP3,CD44,1.8880146
123,VWF,ITGB1,Endothelial cell,Stellate cell,1.8878093,0.0,Ligand,Receptor,VWF,ITGB1,1.8878093
125,COPA,CD74,Fibroblast cell,Endothelial cell,1.8834931,0.0,Ligand,Receptor,COPA,CD74,1.8834931
126,HLA-B,CANX,Endothelial cell,Stellate cell,1.8814532,0.0,Ligand,Receptor,HLA-B,CANX,1.8814532
127,TIMP3,CD44,Fibroblast cell,Stellate cell,1.8783753,0.002,Ligand,Receptor,TIMP3,CD44,1.8783753
128,VIM,CD44,Fibroblast cell,Acinar cell,1.8777705,0.002,Ligand,Receptor,VIM,CD44,1.8777705
129,LGALS1,ITGB1,Fibroblast cell,Ductal cell type 1,1.8765953,0.0,Ligand,Receptor,LGALS1,ITGB1,1.8765953
134,VIM,CD44,Fibroblast cell,Stellate cell,1.8681313,0.001,Ligand,Receptor,VIM,CD44,1.8681313
139,HLA-A,ERBB2,Endothelial cell,Fibroblast cell,1.8594652,0.0,Ligand,Receptor,HLA-A,ERBB2,1.8594652
140,INS,IGF1R,Endothelial cell,Ductal cell type 1,1.8592359,0.001,Ligand,Receptor,INS,IGF1R,1.8592359
142,TIMP1,CD63,Fibroblast cell,Stellate cell,1.846221,0.0,Ligand,Receptor,TIMP1,CD63,1.846221
143,LGALS1,ITGB1,Fibroblast cell,Acinar cell,1.8409702,0.0,Ligand,Receptor,LGALS1,ITGB1,1.8409702
145,COL6A2,CD44,Fibroblast cell,Ductal cell type 1,1.8352717,0.0,Ligand,Receptor,COL6A2,CD44,1.8352717
146,TIMP3,KDR,Endothelial cell,Endothelial cell,1.83357,0.0,Ligand,Receptor,TIMP3,KDR,1.83357
148,TIMP2,ITGB1,Fibroblast cell,Stellate cell,1.8297133,0.0,Ligand,Receptor,TIMP2,ITGB1,1.8297133
149,VWF,LRP1,Endothelial cell,Fibroblast cell,1.829568,0.0,Ligand,Receptor,VWF,LRP1,1.829568
152,CALM1,AQP1,Endothelial cell,Endothelial cell,1.826361,0.0,Ligand,Receptor,CALM1,AQP1,1.826361
153,VIM,CD44,Stellate cell,Endothelial cell,1.8232033,0.0,Ligand,Receptor,VIM,CD44,1.8232033
154,HLA-A,ERBB2,Endothelial cell,Acinar cell,1.8203311,0.0,Ligand,Receptor,HLA-A,ERBB2,1.8203311
155,HLA-B,CANX,Endothelial cell,Fibroblast cell,1.8198271,0.0,Ligand,Receptor,HLA-B,CANX,1.8198271
156,ANXA2,ROBO4,Ductal cell type 1,Endothelial cell,1.819577,0.0,Ligand,Receptor,ANXA2,ROBO4,1.819577
157,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,1.8166351,0.0,Ligand,Receptor,TIMP1,CD63,1.8166351
159,COPA,CD74,Ductal cell type 1,Endothelial cell,1.8132834,0.0,Ligand,Receptor,COPA,CD74,1.8132834
162,APP,RPSA,Endothelial cell,Ductal cell type 1,1.8084955,0.0,Ligand,Receptor,APP,RPSA,1.8084955
